Document,Cluster,Cluster_Name
People in Kent share their finance stories ahead of Wednesday's Budget. Would you share yours?,3,Economics
Sandy Enoch of Robotical explains why he had to pivot his educational robot company due to AI.,3,Economics
"Hovhannes Avoyan, founder of picture and video editing app Picsart, shares his advice for our CEO Secrets series.",3,Economics
"Archive footage shows Dame Anita Roddick talking about her company's success, in an 1984 interview.",3,Economics
The retailer gave the footage to the BBC as it warned of a rise in attacks on retail staff.,3,Economics
"Sir Howard Davies says he believes it is not currently ""that difficult"" for people to get on the housing ladder.",3,Economics
"Joanna Jensen, founder of skincare brand Childs Farm, shares advice for start-ups for our CEO Secrets series.",3,Economics
The regulator has plans to make mobile and broadband firms more upfront about mid-contract price rises.,3,Economics
"Richard Harpin, co-founder of Homeserve, explains how an earring taught him an early business lesson.",3,Economics
Olivia DeRamus set up an app in the wake of her sexual assault. Now she's ready to take on Big Tech.,3,Economics
It is the first transatlantic flight powered solely by alternative fuels.,3,Economics
Could this be the solution for recycling more plastic?,3,Economics
The makers of athletics tracks are tweaking their surfaces to make them faster.,3,Economics
AI with dogfighting ability is being developed by the UK and US air forces.,3,Economics
